,ID,jamfaktor,tedadfaktor,jamMarjoee,TedadMarjoee,jamNaghd,TedadNaghd,jamcheck,Tedadcheck,tedadBargashti,JamBargashti,TedadBargashtiHazer,RialBashtiHazer,jamBedehi,TedadBedehi,Malek,Metrajh,EtebarRial,EtebarTedady,EtebarRialiNaghdi,Khas,sNoePardakht,akharinFaktor,AvalinFaktor,AkharinMarjoee,AvalinMarjoee
5579,35476,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5580,35477,3621500.0,6,118500.0,2,2727000,5,0,0,0,0,0,,774000.0,1,0,0,0,0,0,0,0,1871,1906,1897,1904
5581,35478,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5582,35479,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5583,35480,2888660.0,1,0.0,0,2888000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1883,1883,0,0
5584,35481,729000.0,2,459000.0,1,270000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1888,1898,1896,1896
5585,35482,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5586,35483,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5587,35484,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5588,35485,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5589,35486,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5590,35487,11135600.0,6,850485.0,2,9489000,4,0,0,0,0,0,,776485.0,1,0,0,0,0,0,0,0,1871,1903,1871,1883
5591,35488,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5592,35489,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
